,price,host_acceptance_rate,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_total_listings_count,accommodates,bathrooms,beds,review_scores_rating,room_type,neighbourhood,rating_range
89,1843.0,0.81,1.0,t,t,t,f,13,8,2.0,3.0,4.67,Entire home/apt,Islands,"[4,5]"
90,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.0,Private room,Wan Chai,"[3,4]"
91,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
92,1200.0,0.98,1.0,t,t,t,f,66,6,1.0,4.0,4.62,Entire home/apt,Wan Chai,"[4,5]"
93,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,5.0,Private room,Central & Western,"[4,5]"
94,835.0,1.0,1.0,f,t,t,f,4,4,1.0,2.0,4.76,Entire home/apt,Sha Tin,"[4,5]"
95,1386.0,1.0,1.0,t,t,t,f,10,6,1.0,3.0,4.83,Entire home/apt,Yau Tsim Mong,"[4,5]"
96,980.0,0.81,1.0,t,t,t,f,13,2,1.0,1.0,4.4,Entire home/apt,Islands,"[4,5]"
97,217.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Yau Tsim Mong,
98,1951.0,,,f,t,f,f,2,2,1.0,1.0,4.68,Entire home/apt,Central & Western,"[4,5]"
99,349.0,0.0,0.82,f,t,t,f,16,2,1.0,1.0,,Private room,Yau Tsim Mong,
100,160.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,5.0,Private room,Eastern,"[4,5]"
101,650.0,,,f,t,t,f,1,2,1.0,1.0,4.83,Private room,Sai Kung,"[4,5]"
102,900.0,,,f,t,t,f,1,1,1.0,1.0,,Private room,Eastern,
103,920.25,1.0,1.0,t,t,t,t,10,8,2.0,3.0,4.87,Entire home/apt,Yau Tsim Mong,"[4,5]"
104,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Eastern,
105,920.25,0.97,1.0,f,t,t,f,119,6,1.0,3.0,4.06,Entire home/apt,Wan Chai,"[4,5]"
106,1069.0,0.44,1.0,t,t,t,f,3,4,1.0,4.0,4.83,Entire home/apt,Yau Tsim Mong,"[4,5]"
107,180.0,0.32,1.0,f,t,t,f,503,1,1.0,2.0,4.0,Private room,Wong Tai Sin,"[3,4]"
108,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
109,217.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,,Private room,Wan Chai,
110,784.0,0.83,0.93,f,t,t,f,5,7,1.0,3.0,4.52,Entire home/apt,Yau Tsim Mong,"[4,5]"
111,1547.0,0.83,0.93,f,t,t,f,5,12,3.0,8.0,4.49,Entire home/apt,Yau Tsim Mong,"[4,5]"
112,741.0,0.83,0.93,f,t,t,f,5,6,1.0,3.0,4.53,Entire home/apt,Yau Tsim Mong,"[4,5]"
113,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
115,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,2.0,Private room,Wan Chai,"[1,2]"
116,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
117,800.0,0.0,0.83,f,t,t,f,1,1,2.0,1.0,4.5,Private room,Wan Chai,"[4,5]"
118,395.0,0.99,1.0,f,t,t,t,21,2,1.5,1.0,4.55,Private room,Central & Western,"[4,5]"
120,700.0,,,f,t,f,f,4,4,1.0,1.0,4.0,Private room,Eastern,"[3,4]"
121,1210.0,0.0,,f,t,t,t,11,2,1.0,1.0,4.33,Private room,Yau Tsim Mong,"[4,5]"
122,968.0,0.0,,f,t,t,t,11,2,1.0,1.0,4.43,Private room,Yau Tsim Mong,"[4,5]"
123,378.0,0.43,0.97,f,t,t,f,126,2,1.0,1.0,4.5,Entire home/apt,Wan Chai,"[4,5]"
